week,age_range,sex,cases_confirmed,hospitalized,icu_admissions,deceased
first,0-9,women,[25-189],[4-31],[0-3],[0-1]
first,10-19,women,[189-845],[4-31],[0-3],[1-8]
first,20-29,women,[1423-2645],[162-451],[9-28],[1-8]
first,30-39,women,[2645-6231],[451-1050],[9-28],[1-8]
first,40-49,women,[2645-6231],[451-1050],[28-92],[8-56]
first,50-59,women,[2645-6231],[1050-3551],[28-92],[8-56]
first,60-69,women,[2645-6231],[1050-3551],[92-577],[56-248]
first,70-79,women,[2645-6231],[1050-3551],[92-577],[56-248]
first,80-89,women,[2645-6231],[1050-3551],[9-28],[248-1045]
first,90 y +,women,[845-1423],[451-1050],[0-3],[56-248]
first,0-9,men,[25-189],[31-162],[0-3],[0-1]
first,10-19,men,[25-189],[4-31],[0-3],[0-1]
first,20-29,men,[845-1423],[162-451],[9-28],[1-8]
first,30-39,men,[1423-2645],[451-1050],[28-92],[1-8]
first,40-49,men,[2645-6231],[1050-3551],[92-577],[8-56]
first,50-59,men,[2645-6231],[1050-3551],[92-577],[8-56]
first,60-69,men,[2645-6231],[1050-3551],[92-577],[56-248]
first,70-79,men,[2645-6231],[1050-3551],[92-577],[248-1045]
first,80-89,men,[2645-6231],[1050-3551],[28-92],[248-1045]
first,90 y +,men,[189-845],[451-1050],[3-9],[56-248]
second,0-9,women,[25-189],[4-31],[0-3],[1-8]
second,10-19,women,[25-189],[4-31],[0-3],[0-1]
second,20-29,women,[845-1423],[31-162],[3-9],[1-8]
second,30-39,women,[1423-2645],[162-451],[9-28],[1-8]
second,40-49,women,[2645-6231],[451-1050],[28-92],[8-56]
second,50-59,women,[2645-6231],[1050-3551],[92-577],[8-56]
second,60-69,women,[2645-6231],[1050-3551],[92-577],[56-248]
second,70-79,women,[1423-2645],[1050-3551],[92-577],[248-1045]
second,80-89,women,[1423-2645],[1050-3551],[28-92],[248-1045]
second,90 y +,women,[845-1423],[451-1050],[3-9],[248-1045]
second,0-9,men,[25-189],[4-31],[9-28],[1-8]
second,10-19,men,[25-189],[4-31],[0-3],[0-1]
second,20-29,men,[189-845],[31-162],[9-28],[1-8]
second,30-39,men,[845-1423],[451-1050],[28-92],[8-56]
second,40-49,men,[1423-2645],[1050-3551],[92-577],[8-56]
second,50-59,men,[2645-6231],[1050-3551],[92-577],[56-248]
second,60-69,men,[2645-6231],[1050-3551],[92-577],[248-1045]
second,70-79,men,[2645-6231],[1050-3551],[92-577],[248-1045]
second,80-89,men,[1423-2645],[1050-3551],[28-92],[248-1045]
second,90 y +,men,[189-845],[162-451],[3-9],[56-248]
third,0-9,women,[25-189],[31-162],[3-9],[0-1]
third,10-19,women,[25-189],[4-31],[0-3],[0-1]
third,20-29,women,[845-1423],[31-162],[9-28],[1-8]
third,30-39,women,[1423-2645],[162-451],[9-28],[1-8]
third,40-49,women,[2645-6231],[451-1050],[28-92],[8-56]
third,50-59,women,[2645-6231],[451-1050],[28-92],[8-56]
third,60-69,women,[1423-2645],[451-1050],[92-577],[56-248]
third,70-79,women,[1423-2645],[1050-3551],[92-577],[248-1045]
third,80-89,women,[2645-6231],[1050-3551],[9-28],[248-1045]
third,90 y +,women,[1423-2645],[451-1050],[3-9],[248-1045]
third,0-9,men,[25-189],[31-162],[9-28],[0-1]
third,10-19,men,[25-189],[4-31],[0-3],[0-1]
third,20-29,men,[189-845],[31-162],[9-28],[1-8]
third,30-39,men,[845-1423],[162-451],[28-92],[8-56]
third,40-49,men,[1423-2645],[451-1050],[28-92],[8-56]
third,50-59,men,[1423-2645],[1050-3551],[92-577],[56-248]
third,60-69,men,[1423-2645],[1050-3551],[92-577],[248-1045]
third,70-79,men,[1423-2645],[1050-3551],[92-577],[248-1045]
third,80-89,men,[1423-2645],[1050-3551],[9-28],[248-1045]
third,90 y +,men,[189-845],[162-451],[3-9],[248-1045]
fourth,0-9,women,[25-189],[4-31],[3-9],[0-1]
fourth,10-19,women,[25-189],[4-31],[0-3],[1-8]
fourth,20-29,women,[189-845],[31-162],[3-9],[1-8]
fourth,30-39,women,[845-1423],[31-162],[9-28],[8-56]
fourth,40-49,women,[1423-2645],[162-451],[28-92],[8-56]
fourth,50-59,women,[1423-2645],[162-451],[28-92],[8-56]
fourth,60-69,women,[845-1423],[162-451],[92-577],[56-248]
fourth,70-79,women,[845-1423],[451-1050],[92-577],[56-248]
fourth,80-89,women,[1423-2645],[451-1050],[92-577],[248-1045]
fourth,90 y +,women,[1423-2645],[162-451],[92-577],[248-1045]
fourth,0-9,men,[25-189],[4-31],[0-3],[1-8]
fourth,10-19,men,[25-189],[4-31],[3-9],[1-8]
fourth,20-29,men,[189-845],[31-162],[3-9],[1-8]
fourth,30-39,men,[189-845],[31-162],[9-28],[1-8]
fourth,40-49,men,[189-845],[162-451],[28-92],[8-56]
fourth,50-59,men,[845-1423],[451-1050],[92-577],[8-56]
fourth,60-69,men,[845-1423],[451-1050],[92-577],[56-248]
fourth,70-79,men,[845-1423],[451-1050],[92-577],[248-1045]
fourth,80-89,men,[1423-2645],[451-1050],[9-28],[248-1045]
