age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,Portugal
>=26.5,Private,>=56442,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,12th,Never-married,Handlers-cleaners,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Sales,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-inc,>=56442,Prof-school,Never-married,Sales,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,<56442,Some-college,Never-married,Adm-clerical,Unmarried,Other,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Widowed,Machine-op-inspct,Unmarried,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,State-gov,>=56442,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,<56442,HS-grad,Divorced,Protective-serv,Unmarried,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,State-gov,>=56442,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,>=9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Divorced,Exec-managerial,Unmarried,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,<56442,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,State-gov,>=56442,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,12th,Never-married,Protective-serv,Own-child,Black,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<9104,<2298.5,<49,Mexico
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Tech-support,Husband,Black,Male,<9104,<2298.5,<49,Trinadad&Tobago
>=26.5,Private,<56442,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,>=49,Poland
<26.5,Private,>=56442,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,<9104,<2298.5,<49,Mexico
>=26.5,Private,<56442,Some-college,Never-married,Sales,Other-relative,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,<56442,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Sales,Own-child,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Sales,Not-in-family,White,Female,<9104,<2298.5,>=49,United-States
>=26.5,Self-emp-inc,>=56442,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,10th,Never-married,Adm-clerical,Not-in-family,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Preschool,Never-married,Farming-fishing,Not-in-family,White,Male,<9104,<2298.5,<49,Mexico
>=26.5,Private,>=56442,Some-college,Never-married,Sales,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,Bachelors,Never-married,Transport-moving,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Federal-gov,>=56442,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,HS-grad,Married-civ-spouse,Transport-moving,Wife,White,Female,<9104,<2298.5,<49,United-States
<26.5,Private,<56442,Assoc-voc,Never-married,Transport-moving,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Transport-moving,Unmarried,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,<9104,<2298.5,>=49,United-States
<26.5,Private,>=56442,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
<26.5,Local-gov,>=56442,Some-college,Never-married,Protective-serv,Own-child,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,<9104,<2298.5,>=49,Columbia
>=26.5,Private,<56442,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,<9104,<2298.5,<49,United-States
<26.5,Private,>=56442,HS-grad,Never-married,Adm-clerical,Own-child,Black,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<9104,<2298.5,>=49,United-States
>=26.5,Private,>=56442,Bachelors,Divorced,Sales,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Private,<56442,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Female,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Self-emp-not-inc,>=56442,Bachelors,Married-civ-spouse,Craft-repair,Other-relative,White,Male,<9104,<2298.5,<49,United-States
>=26.5,Local-gov,>=56442,HS-grad,Divorced,Craft-repair,Unmarried,Black,Male,<9104,<2298.5,<49,United-States
>=26.5,Private,>=56442,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,<9104,<2298.5,>=49,Puerto-Rico
