Survived,Pclass,Sex,Age,Siblings.Spouses.Aboard,Parents.Children.Aboard,Fare
No,3,male,22,1,0,7.25
Yes,1,female,38,1,0,712.833
Yes,3,female,26,0,0,7.925
Yes,1,female,35,1,0,53.1
No,3,male,35,0,0,8.05
No,3,male,27,0,0,84.583
No,1,male,54,0,0,518.625
No,3,male,2,3,1,21.075
Yes,3,female,27,0,2,111.333
Yes,2,female,14,1,0,300.708
Yes,3,female,4,1,1,16.7
Yes,1,female,58,0,0,26.55
No,3,male,20,0,0,8.05
No,3,male,39,1,5,31.275
No,3,female,14,0,0,78.542
Yes,2,female,55,0,0,16
No,3,male,2,4,1,29.125
Yes,2,male,23,0,0,13
No,3,female,31,1,0,18
Yes,3,female,22,0,0,7.225
No,2,male,35,0,0,26
Yes,2,male,34,0,0,13
Yes,3,female,15,0,0,80.292
Yes,1,male,28,0,0,35.5
No,3,female,8,3,1,21.075
Yes,3,female,38,1,5,313.875
No,3,male,26,0,0,7.225
No,1,male,19,3,2,263
Yes,3,female,24,0,0,78.792
No,3,male,23,0,0,78.958
No,1,male,40,0,0,277.208
Yes,1,female,48,1,0,1.465.208
Yes,3,female,18,0,0,7.75
No,2,male,66,0,0,10.5
No,1,male,28,1,0,821.708
No,1,male,42,1,0,52
Yes,3,male,18,0,0,72.292
No,3,male,21,0,0,8.05
No,3,female,18,2,0,18
Yes,3,female,14,1,0,112.417
No,3,female,40,1,0,9.475
No,2,female,27,1,0,21
Yes,2,female,3,1,2,415.792
Yes,3,female,19,0,0,78.792
No,3,male,30,0,0,8.05
No,3,male,20,1,0,15.5
Yes,3,female,27,0,0,7.75
No,3,male,16,2,0,216.792
No,3,female,18,1,0,17.8
No,3,male,7,4,1,396.875
No,3,male,21,0,0,7.8
Yes,1,female,49,1,0,767.292
Yes,2,female,29,1,0,26
No,1,male,65,0,1,619.792
Yes,1,male,46,0,0,35.5
Yes,2,female,21,0,0,10.5
No,3,male,28,0,0,72.292
Yes,2,female,5,1,2,27.75
No,3,male,11,5,2,46.9
No,3,male,22,0,0,72.292
Yes,1,female,38,0,0,80
No,1,male,45,1,0,83.475
No,3,male,4,3,2,27.9
No,1,male,64,0,0,277.208
Yes,3,male,7,1,1,152.458
Yes,2,female,29,0,0,10.5
No,3,male,19,0,0,81.583
Yes,3,female,17,4,2,7.925
No,3,male,26,2,0,86.625
No,2,male,32,0,0,10.5
No,3,female,16,5,2,46.9
No,2,male,21,0,0,73.5
No,3,male,26,1,0,144.542
Yes,3,male,32,0,0,564.958
No,3,male,25,0,0,7.65
No,3,male,23,0,0,78.958
No,3,male,28,0,0,8.05
